PERCENT,FILE,DOWNLOADSIZE,TOTALSIZE
100%,C:\gitbash\opt\kodi\downloads\tvshows\Project Runway\Season 4\Project Runway S04E01.mp4,164,164
100%,C:\gitbash\opt\kodi\downloads\tvshows\Project Runway\Season 4\Project Runway S04E03.mp4,159,159
100%,C:\gitbash\opt\kodi\downloads\tvshows\Project Runway\Season 4\Project Runway S04E04.mp4,175,175
100%,C:\gitbash\opt\kodi\downloads\tvshows\Project Runway\Season 4\Project Runway S04E06.mp4,164,164
88%,"C:\gitbash\opt\kodi\downloads\tvshows\Drugs, Inc\Season 4\Drugs, Inc S04E06.mp4",164,164
25%,"C:\gitbash\opt\kodi\downloads\tvshows\Drugs, Inc\Season 4\Drugs, Inc S04E07.mp4",222,444
100%,C:\gitbash\opt\kodi\downloads\tvshows\Project Runway\Season 4\Project Runway S04E11.mp4,0,0
100%,C:\gitbash\opt\kodi\downloads\tvshows\Project Runway\Season 4\Project Runway S04E07.mp4,151,151
100%,C:\gitbash\opt\kodi\downloads\tvshows\Project Runway\Season 4\Project Runway S04E08.mp4,154,154
20%,C:\gitbash\opt\kodi\downloads\tvshows\Project Runway\Season 4\Project Runway S04E10.mp4,32,162
70%,C:\gitbash\opt\kodi\downloads\tvshows\Project Runway\Season 4\Project Runway S04E09.mp4,105,150